error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c3f-ftldivp-m-099,99,Error,c3f,IF,FTDDSOCI,MIssingness,FTDDSOCI must be present,FTDDSOCI cannot be blank,Q13. FTDDSOCI (diminished engagement) cannot be blank,FTDDSOCI=blank,,,,,
c3f-ftldivp-c-100,100,Error,c3f,IF,FTDDSOCI,Conformity,FTDDSOCI conforms,FTDDSOCI must be between 0 and 3,Q13. FTDDSOCI (diminished engagement) must be between 0 and 3,"FTDDSOCI ne 0,1,2,3",,,,,
c3f-ftldivp-m-101,101,Error,c3f,IF,FTDEXAGG,MIssingness,FTDEXAGG must be present,FTDEXAGG cannot be blank,Q14. FTDEXAGG (exaggerated reactivity) cannot be blank,FTDEXAGG=blank,,,,,
c3f-ftldivp-c-102,102,Error,c3f,IF,FTDEXAGG,Conformity,FTDEXAGG conforms,FTDEXAGG must be between 0 and 3,Q14. FTDEXAGG (exaggerated reactivity) must be between 0 and 3,"FTDEXAGG ne 0,1,2,3",,,,,
c3f-ftldivp-m-103,103,Error,c3f,IF,FTDSBTOT,MIssingness,FTDSBTOT must be present,FTDSBTOT cannot be blank,Q15. FTDSBTOT (descriptor total score) cannot be blank,FTDSBTOT=blank,,,,,
c3f-ftldivp-c-104,104,Error,c3f,IF,FTDSBTOT,Conformity,FTDSBTOT conforms,FTDSBTOT must be between 0 and 42,Q15. FTDSBTOT (descriptor total score) must be between 0 and 42,FTDSBTOT<0 or FTDSBTOT>42,,,,,
c3f-ftldivp-m-105,105,Error,c3f,IF,FTDSBCTO,MIssingness,FTDSBCTO must be present,FTDSBCTO cannot be blank,Q16. FTDSBCTO (checklist score) cannot be blank,FTDSBCTO=blank,,,,,
c3f-ftldivp-c-106,106,Error,c3f,IF,FTDSBCTO,Conformity,FTDSBCTO conforms,FTDSBCTO must be between 0 and 105,Q16. FTDSBCTO (checklist score) must be between 0 and 105,FTDSBCTO<0 or FTDSBCTO>105,,,,,
c3f-ftldivp-m-107,107,Error,c3f,IF,FTDLENGT,MIssingness,FTDLENGT must be present,FTDLENGT cannot be blank,Q17. FTDLENGT (length of session) cannot be blank,FTDLENGT=blank,,,,,
c3f-ftldivp-c-108,108,Error,c3f,IF,FTDLENGT,Conformity,FTDLENGT conforms,FTDLENGT must be between 20 and 240,Q17. FTDLENGT (length of session) must be between 20 and 240,FTDLENGT<20 or FTDLENGT>240,,,,,
